times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
000.093  000.089: event init
000.148  000.055: early init
000.307  000.159: locale set
000.333  000.026: init first window
000.653  000.320: inits 1
000.662  000.009: window checked
000.664  000.001: parsing arguments
000.928  000.041  000.041: require('vim.shared')
000.990  000.022  000.022: require('vim._options')
000.991  000.060  000.038: require('vim._editor')
000.992  000.126  000.025: require('vim._init_packages')
000.992  000.203: init lua interpreter
001.040  000.048: expanding arguments
001.059  000.019: inits 2
001.203  000.144: init highlight
001.204  000.000: waiting for UI
001.287  000.083: done waiting for UI
001.340  000.053: clear screen
001.445  000.105: init default mappings & autocommands
001.665  000.035  000.035: sourcing /opt/nvim-linux64/share/nvim/runtime/ftplugin.vim
001.694  000.014  000.014: sourcing /opt/nvim-linux64/share/nvim/runtime/indent.vim
001.993  000.209  000.209: require('vim-settings')
002.072  000.077  000.077: require('lazy')
002.091  000.013  000.013: require('ffi')
002.110  000.018  000.018: require('vim.loader')
002.145  000.016  000.016: require('vim.fs')
002.213  000.092  000.076: require('lazy.stats')
002.349  000.121  000.121: require('lazy.core.util')
002.474  000.123  000.123: require('lazy.core.config')
002.563  000.033  000.033: require('lazy.core.handler')
002.624  000.060  000.060: require('lazy.core.plugin')
002.628  000.153  000.059: require('lazy.core.loader')
002.792  000.030  000.030: require('plugins')
002.846  000.051  000.051: require('plugins.lsp-config')
002.884  000.026  000.026: require('plugins.neo-tree')
002.945  000.037  000.037: require('plugins.none-ls')
003.013  000.059  000.059: require('plugins.rose-pine')
003.051  000.033  000.033: require('plugins.telescope')
003.088  000.026  000.026: require('plugins.treesitter')
003.284  000.132  000.132: require('lazy.core.handler.event')
003.332  000.044  000.044: require('lazy.core.handler.ft')
003.373  000.039  000.039: require('lazy.core.handler.cmd')
003.551  000.058  000.058: require('lazy.core.handler.keys')
003.727  000.130  000.130: sourcing /opt/nvim-linux64/share/nvim/runtime/filetype.lua
004.223  000.132  000.132: require('mason-core.path')
004.478  000.177  000.177: require('mason-core.functional')
004.566  000.030  000.030: require('mason-core.functional.data')
004.570  000.083  000.053: require('mason-core.functional.function')
004.670  000.037  000.037: require('mason-core.functional.relation')
004.729  000.054  000.054: require('mason-core.functional.logic')
